FID,Name_Common,DBH_inches,CommonName,DBHLastUpd,Mapid_,TreeHeight,CrownWidth,WoodCondit,FoliageCon,HazardTree,Removal,OverRoador,Against_Ov,PruningNee,Structura2,LightningP,Lightning2,AirSpadeNe,AirSpadeDo,NextRootCo,FertilizeN,FertilizeD,SpecialSta,Pests,DateofPlan,SizeatPlan,SourceofTr,FundingBy_,Wilt_Pruf (deprecated),TrunkWrap,DateRemove,DBHatRemov,ReasonForR,Photo1,Photo2,Photo3,Notes,POINT_X,POINT_Y
19,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641246.5505,1453137.675
20,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641297.8865,1453105.42
21,Boxelder,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641298.5392,1453101.47
22,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641330.6147,1453082.896
23,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641337.4082,1453072.466
24,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641349.4622,1453066.943
25,Boxelder,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641332.7863,1453065.762
26,Boxelder,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641343.0585,1453053.208
27,Boxelder,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641343.8451,1453054.285
28,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641365.0747,1453043.085
29,Boxelder,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641353.1177,1453042.872
30,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641384.2641,1453040.405
31,Canadian Hemlock,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641382.3218,1453025.202
32,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641410.2373,1453018.651
33,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641412.0992,1453016.329
34,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641407.6827,1453009.789
35,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641414.024,1453009.535
36,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641422.9263,1453007.676
37,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641430.7482,1452986.947
38,Blue Spruce,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,641410.2645,1453104.796
39,White Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646558.1839,1452610.416
40,White Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646555.6072,1452645.552
41,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646496.0056,1452725.362
42,Pin Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.3388,1452738.742
43,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646496.5773,1452717.981
44,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.6606,1452709.486
45,Pin Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.3648,1452699.449
46,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.1837,1452685.625
47,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646492.1175,1452665.798
48,White Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646502.2861,1452647.639
49,Crabapple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646480.3622,1452797.987
50,Red Mulberry,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646486.0753,1452808.443
51,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646491.8322,1452818.728
52,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.1336,1452850.082
53,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.4374,1452864.876
54,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646488.08,1452857.617
55,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646472.6714,1452860.52
56,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646480.6965,1452862.469
57,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646486.4597,1452862.861
58,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646493.5956,1452804.233
59,Austrian Pine,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646499.0693,1452810.119
60,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646495.3317,1452791.656
61,Red Mulberry,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646502.853,1452799.14
62,Red Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646498.9704,1452793.157
63,Norway Maple,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646497.4612,1452778.951
64,Black Cherry,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646494.9967,1452773.889
65,Red Oak,0,,2013-01-10,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646508.0846,1452769.599
66,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646592.865,1452792.513
67,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646578.0693,1452745.913
68,Norway Maple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.6969,1452796.324
69,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.1573,1452774.63
70,American Elm,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646516.7293,1452766.64
71,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646517.4042,1452763.486
72,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646565.7628,1452875.191
73,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646610.4386,1452870.3
74,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646615.9815,1452879.671
75,Pin Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646626.6848,1452869.001
76,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646631.9882,1452866.072
77,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646636.3755,1452872.614
78,Flowering Dogwood,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646647.4722,1452881.676
79,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646698.2399,1452867.893
80,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646704.7875,1452886.097
81,White Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646704.3719,1452861.479
82,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646708.0438,1452877.184
83,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646714.7805,1452886.695
84,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646717.2871,1452877.588
85,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646733.9969,1452875.532
86,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646739.5458,1452883.578
87,Pin Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646759.9181,1452889.219
88,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646756.1761,1452819.409
89,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646752.2938,1452799.068
90,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646818.8727,1452884.565
91,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646831.1636,1452887.464
92,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646827.6914,1452876.399
93,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646846.5261,1452900.361
94,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646846.6927,1452887.909
95,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646858.1885,1452891.306
96,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646873.2798,1452901.45
97,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646883.0453,1452905.889
98,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646856.5864,1452885.253
99,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646867.4812,1452882.633
100,White Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646892.3843,1452893.53
101,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646862.6471,1452876.334
102,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646904.8283,1452880.93
103,Flowering Dogwood,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646926.97,1452882.948
104,Flowering Dogwood,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646907.6161,1452863.805
105,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646941.0645,1452869.392
106,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646968.4804,1452843.93
107,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646987.8115,1452883.175
108,Austrian Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646986.8275,1452824.896
109,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,647007.0158,1452865.509
110,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,647004.8628,1452834.537
111,Serviceberry,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,647021.6251,1452841.977
112,Bur Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646933.2851,1452808.903
113,Flowering Dogwood,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646987.477,1452798.005
114,Sugar Maple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,647001.6846,1452762.374
115,White Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646955.1243,1452772.825
116,White Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646988.0203,1452839.324
117,Sugar Maple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646992.5722,1452749.544
118,Sugar Maple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646985.5968,1452747.213
119,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646933.9651,1452757.589
120,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646728.0127,1452490.236
121,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646728.5874,1452435.916
122,Bur Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646702.801,1452445.788
123,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646679.8492,1452452.199
124,Bur Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646640.4027,1452458.182
125,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646664.9387,1452485.25
126,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646598.6245,1452525.036
127,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646676.046,1452512.941
128,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646692.7668,1452533.137
129,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646729.0225,1452567.879
130,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646692.5598,1452641.331
131,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646678.3817,1452620.604
132,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646654.8154,1452633.709
133,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646622.7992,1452627.037
134,Red Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646656.4611,1452569.805
135,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646614.4851,1452571.772
136,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646663.1271,1452535.58
137,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646806.7582,1452539.512
138,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646812.1734,1452559.246
139,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646820.8567,1452610.545
140,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646826.4737,1452654.488
141,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646828.9707,1452669.715
142,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646832.55,1452688.094
143,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646834.8072,1452709.157
144,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646849.6655,1452729.026
145,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646848.8798,1452745.127
146,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646850.5888,1452765.263
147,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646844.3123,1452808.83
148,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646845.1824,1452826.268
149,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646845.4479,1452853.822
150,Crabapple,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646854.7672,1452864.533
151,Flowering Dogwood,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646845.4944,1452513.533
152,White Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646862.0187,1452515.757
153,Scotch Pine,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646870.1445,1452509.428
154,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646875.1589,1452480.162
155,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646850.574,1452491.432
156,White Oak,0,,2013-01-14,0,0,0, , ,No, ,No,No, , ,No,No,No, ,,No, , , ,, , , ,No,No,,0, , , , , ,646837.2303,1452488.584
